Typical Transport Aircraft Roughness,
X,Y
103978.61839951367,9.503765023151242
112662.63242354576,9.109524215579338
123332.52390204558,8.9669518169687
134565.36054708966,8.819384325708539
147185.83739620965,8.562507563896526
160148.37464226614,8.348240828823455
174705.46579541665,8.106790203328146
190617.4578125298,7.974116571803525
207688.4655052812,7.799796239782526
226928.32043528254,7.734023512444013
248365.95301593468,7.486254721876724
269190.7571552346,7.346495159400141
294664.4607398946,7.192886615252124
321483.8899539318,7.04411924854416
351913.50938038784,6.908018001603
381437.77887849574,6.802830437721396
417820.1232117404,6.673090413232585
445269.2890490422,6.544263312153779
482030.99349528505,6.456881535176696
525975.6443101314,6.260901695139674
573086.768175075,6.129529426679968
627934.5416136282,6.007985445793601
682149.2224617386,5.874521533778735
745299.7652299987,5.79942010193679
812179.4591625852,5.745059801115348
884977.0329679894,5.649833080259746
966663.8605065717,5.471360357702008
1030770.5666730013,5.333041586161233
1113227.5766267818,5.266231006054157
1216167.123102637,5.159939318524123
1326882.6714142074,5.060242014138768
1447631.8245068665,4.950423648137323
1579639.180863919,4.9073149141167285
1720794.256328505,4.8737111664798825
1880268.3356821507,4.70560531429948
2051279.9549350503,4.586729758367029
2238131.870769744,4.515321423911945
2441817.619565901,4.4188631486707575
2664088.100640818,4.330476051727159
2906878.542513927,4.276400572391574
3171489.0893943757,4.191590714115957
3453352.3524199724,4.111249208836317
3775156.123284077,4.0262844111449025
4118687.955538249,3.9377655899049926
4493837.332828819,3.8748905656367842
4903270.934995007,3.819866354246998
5350128.273025478,3.7721669554657953
5836870.18242591,3.6839011968309596
6368409.914346511,3.6202576575427994
6946949.560809479,3.5025543981049525
7580047.523804903,3.4584970764421263
8270452.667618598,3.4026050359494056
9024379.365661826,3.3659548735014937
10716299.727012368,3.2946253652494915
11721888.82944252,3.210066586336608
12789525.426996902,3.157896956430977
13954340.280338943,3.1054966572732092
15225309.8821489,3.0550264857282614
16612525.479465771,3.0121674256263726
18122766.593668167,2.927588807207631
19774850.60332269,2.896390365980835
21621206.266550183,2.873445922722227
23545233.502109215,2.8412287929894835
25692056.77661727,2.8145318311578342
27993304.115737602,2.7557404036933977
30581848.761035476,2.700249765608526
33367411.68600829,2.6572881625343605
36407517.17931601,2.6195541457661107
39725142.38571036,2.5850474133522936
43421439.96165242,2.5366181056306027
47447997.440280125,2.5022859789109004
51598196.90004752,2.460422362721258
56151432.88162347,2.428826656534992
61431980.35286052,2.4008030364847333
66899815.10057777,2.376978310171181
73387136.09478879,2.354314862726325
79543854.51294513,2.318023255420875
87073502.33182809,2.274310772302229
95402351.17233212,2.2209294983825507
103656374.84428398,2.199555281236675
112718124.06997636,2.1554965735945584
123405653.19101866,2.1382729270845773
134650354.92732438,2.109373416718235
146917030.56416062,2.077976304611501
160304805.44173884,2.0506036418164326
174909393.06378064,2.0207828569224904
190843818.49907386,1.9908195873652463
208221151.4332913,1.9549545900259861
227210565.71734354,1.9392769714767266
247923981.82850322,1.9190548653294446
270163748.56146234,1.8968503940661356
295183931.7147251,1.8772844665343809
321632045.6650735,1.8417727395878025
351392681.4197008,1.8123509446075212
383404628.55834645,1.7853748836912349
418338198.22077626,1.760531565655039
456471805.7622486,1.7410646445561664
498068919.9187215,1.7184615083672652
543451516.5928937,1.6949089034325484
592970724.621162,1.6720016137202212
646996298.263347,1.648258860556225
705975873.1910526,1.6305051235349257
770293885.8086684,1.6067935970527356
840490486.5650896,1.5861783872290598
917079955.9933199,1.5652840555516028
984938380.4149913,1.5521757489420651
